WARN  [2013-11-26 17:55:42,815] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
ERROR [2013-11-26 18:03:45,076] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:48,123] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:48,125] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:51,181] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:51,183] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:54,236] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:54,236] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:03:57,281] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:03:57,282] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:04:00,335] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:04:00,336] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:04:03,390] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:04:03,392] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:04:06,434] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:04:06,434] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
ERROR [2013-11-26 18:04:09,480] [VSensorLoader-Thread0] (WebCamWrapper.java:125)     - Device doesn't exist: vfw:Microsoft WDM Image Capture (Win32):0
ERROR [2013-11-26 18:04:09,481] [VSensorLoader-Thread0] (VSensorLoader.java:184)     - loading the >monitoring< virtual sensor is stoped due to error(s) in preparing the input streams.
